,image_ID,pitch,yaw,condition,pitchyaw,norm_yaw,norm_pitch,norm_pitchyaw
0,facealign_frame_A0.jpg,-0.2553296,0.13674606,A,0.39207566,0.5828503481768448,0.4501753218199059,0.33933596256640397
1,facealign_frame_A1.jpg,-0.28639692,0.1720469,A,0.45844382,0.6094118468538051,0.4106870224738438,0.3990618563098334
2,facealign_frame_A10.jpg,-0.27729845,0.08771622,A,0.36501467,0.5459587039470878,0.422251686144581,0.31498329385701074
3,facealign_frame_A100.jpg,-0.2127136,0.07083684,A,0.28355044,0.5332581101499455,0.5043426386316483,0.24167217682633982
4,facealign_frame_A1004.jpg,-0.49842584,-0.12929711,A,0.627723,0.3826708253108355,0.1411864198154152,0.5513992168401669
5,facealign_frame_A101.jpg,-0.34275073,-0.28191018,A,0.6246609,0.26783979418262843,0.33905818166713414,0.5486435783045835
6,facealign_frame_A1010.jpg,-0.37548178,-0.09717304,A,0.47265482,0.40684201905023604,0.29745518854410563,0.4118505892804005
7,facealign_frame_A1011.jpg,-0.44988135,-0.08806771,A,0.5379491,0.41369316510648535,0.20288917862183678,0.47061007921252646
8,facealign_frame_A1012.jpg,-0.086489044,0.5133735,A,0.5998625,0.8662370678488686,0.6647811010465517,0.5263270547877789
9,facealign_frame_A1016.jpg,-0.3336501,0.2619463,A,0.59559643,0.6770550755746947,0.35062559081854316,0.5224879421240854
10,facealign_frame_A1017.jpg,-0.39335138,0.17329358,A,0.56664497,0.6103498893811385,0.27474192863000974,0.49643400566303025
11,facealign_frame_A1018.jpg,-0.42427468,0.10143553,A,0.5257102,0.5562815584291286,0.23543668674985774,0.45959607429003874
12,facealign_frame_A102.jpg,-0.3029329,-0.4638928,A,0.7668257,0.13091015963682792,0.38966886808458534,0.6765802235099938
13,facealign_frame_A1025.jpg,-0.3476662,-0.24596797,A,0.5936342,0.2948838804809157,0.33281034468645515,0.5207220962654664
14,facealign_frame_A1026.jpg,-0.43666816,-0.12297118,A,0.55963933,0.3874306605251121,0.2196838812880595,0.49012950497708807
15,facealign_frame_A1028.jpg,-0.34606594,-0.067304395,A,0.41337034,0.42931615775770304,0.33484436454756733,0.35849942581414707
16,facealign_frame_A1029.jpg,-0.43857086,0.1470434,A,0.58561426,0.590598401276607,0.21726544329064768,0.5135048088754185
17,facealign_frame_A103.jpg,-0.19731085,-0.07322433,A,0.27053517,0.4248618063691755,0.5239203943811805,0.22995950266056445
18,facealign_frame_A104.jpg,-0.16259079,-0.056164265,A,0.21875505,0.4376983534294254,0.5680515303334686,0.18336164692459075
19,facealign_frame_A1049.jpg,-0.51064956,-0.35757935,A,0.8682289,0.21090385274775925,0.1256493887975339,0.7678347761214225
20,facealign_frame_A105.jpg,-0.2684864,0.061466366,A,0.32995278,0.5262074611355455,0.43345229399400165,0.28343047219397516
21,facealign_frame_A1050.jpg,-0.29720247,-0.03931717,A,0.33651963,0.4503746549438689,0.3969525647543224,0.2893400979140349
22,facealign_frame_A1052.jpg,-0.28138232,-0.23604281,A,0.5174251,0.3023518932593261,0.41706085922258046,0.4521401646753426
23,facealign_frame_A1053.jpg,-0.37999207,-0.19464958,A,0.57464164,0.3334975040685905,0.29172235797946244,0.5036303519640467
24,facealign_frame_A1056.jpg,-0.4751652,-0.14444682,A,0.619612,0.3712716914057689,0.17075199274867708,0.5440999829281079
25,facealign_frame_A1057.jpg,-0.6029862,-0.21913914,A,0.8221254,0.3150707636414692,0.008284360821848401,0.7263454122125813
26,facealign_frame_A1058.jpg,-0.49301693,0.0330943,A,0.52611125,0.5048593970803663,0.14806144660291756,0.45995698635518867
27,facealign_frame_A106.jpg,-0.21279319,0.0982858,A,0.311079,0.5539115992658967,0.5042414752952243,0.2664456201381571
28,facealign_frame_A1063.jpg,-0.051853336,-0.18051808,A,0.23237142,0.3441305036956097,0.7088050208943789,0.19561526172709873
29,facealign_frame_A1064.jpg,-0.14699896,-0.06950542,A,0.21650438,0.4276600350528196,0.5878696173262608,0.18133622875311325
30,facealign_frame_A1065.jpg,-0.22747383,0.004638573,A,0.2321124,0.48344838377126537,0.48558156169753475,0.1953821649982242
31,facealign_frame_A1066.jpg,-0.09736299,0.0550507,A,0.1524137,0.5213801056400157,0.6509597081899772,0.12365987997948244
32,facealign_frame_A1067.jpg,-0.13695335,-0.07983973,A,0.21679309,0.41988416452417787,0.6006381488505054,0.1815960440437988
33,facealign_frame_A1068.jpg,-0.10243629,0.070052356,A,0.17248864,0.5326678389063123,0.6445112604618701,0.14172567739417224
34,facealign_frame_A1069.jpg,-0.14105901,-0.042844996,A,0.183904,0.44772020406871843,0.5954196256211713,0.15199856394704633
35,facealign_frame_A107.jpg,-0.23681982,0.11121,A,0.34802982,0.563636187156745,0.47370228627869254,0.2996983236793218
36,facealign_frame_A1071.jpg,-0.22712903,0.083054364,A,0.3101834,0.542450972063762,0.4860198217603442,0.26563965368622267
37,facealign_frame_A1072.jpg,-0.07671726,0.34224012,A,0.41895738,0.7374707538899443,0.6772015844270641,0.3635273029977286
38,facealign_frame_A1073.jpg,-0.32306817,-0.15642,A,0.4794882,0.36226268185446614,0.3640758150251717,0.4180000701126019
39,facealign_frame_A108.jpg,-0.19092922,0.08110413,A,0.27203333,0.5409835526536073,0.5320318026312585,0.23130772362933408
40,facealign_frame_A109.jpg,-0.24526553,0.000746673,A,0.2460122,0.48051999179246646,0.4629673170354482,0.20789084352501955
41,facealign_frame_A11.jpg,-0.24848592,0.098081894,A,0.3465678,0.5537581737681119,0.45887402143315403,0.29838262574267915
