image_ID,pitch,yaw,condition
frame_BAB108.jpg,0.014874591,-0.058625303,BAB
frame_BAB109.jpg,-0.2678336,0.14021666,BAB
frame_BAB110.jpg,-0.5254337,0.24167113,BAB
frame_BAB111.jpg,-0.5091674,0.12261081,BAB
frame_BAB112.jpg,-0.5302747,0.06685823,BAB
frame_BAB113.jpg,-0.41595042,0.16118959,BAB
frame_BAB114.jpg,-0.416426,0.09982198,BAB
frame_BAB115.jpg,-0.4392118,0.0015992429,BAB
frame_BAB116.jpg,-0.52334994,0.15916832,BAB
frame_BAB117.jpg,-0.6238459,0.3653865,BAB
frame_BAB118.jpg,-0.55341953,0.14415789,BAB
frame_BAB119.jpg,-0.42814803,-0.048505902,BAB
frame_BAB120.jpg,-0.5044669,0.07887155,BAB
frame_BAB121.jpg,-0.54030025,-0.041682027,BAB
frame_BAB122.jpg,-0.7195904,-0.11778548,BAB
frame_BAB123.jpg,-0.418234,-0.010345593,BAB
frame_BAB124.jpg,-0.36877948,0.10473792,BAB
frame_BAB125.jpg,-0.7556179,0.11211604,BAB
frame_BAB126.jpg,-0.7004329,0.39512554,BAB
frame_BAB127.jpg,-0.61452377,0.34720036,BAB
frame_BAB128.jpg,-0.70287544,0.076721326,BAB
frame_BAB129.jpg,-0.66723657,0.03967876,BAB
frame_BAB130.jpg,-0.6200248,0.29569823,BAB
frame_BAB131.jpg,-0.4721406,0.4095753,BAB
frame_BAB132.jpg,-0.6506791,0.3124214,BAB
frame_BAB133.jpg,-0.59963286,0.31213352,BAB
frame_BAB134.jpg,-0.62161684,0.04483611,BAB
frame_BAB135.jpg,-0.58025503,0.04682438,BAB
frame_BAB136.jpg,-0.49107686,0.27286252,BAB
frame_BAB137.jpg,-0.23213361,0.08743493,BAB
frame_BAB138.jpg,-0.33480477,0.0443727,BAB
frame_BAB139.jpg,-0.34048933,-0.087443486,BAB
frame_BAB140.jpg,-0.339395,0.15714969,BAB
